guessWord,genreHint,directorsHint,studioHint 
Happy Feet Two,"Animation, Art House & International, Kids & Family","Gary Eck, David Peers",Warner Bros. Pictures
"Happy, Happy","Art House & International, Comedy, Special Interest",Anne Sewitsky,Magnolia Pictures
Happy Here and Now,"Drama, Mystery & Suspense",Michael Almereyda,IFC Films
Happy People: A Year in the Taiga,"Art House & International, Documentary, Special Interest","Werner Herzog, Dmitry Vasyukov",Music Box Films
"Happy, Texas",Comedy,Mark Illsley,Miramax Films
Happy Valley,"Documentary, Drama",Amir Bar-Lev,Music Box Films
HappyThankYouMorePlease,Comedy,Josh Radnor,Hannover House
Hara-Kiri: Death of a Samurai,"Action & Adventure, Art House & International, Drama","Kikumi Yamagishi, Takashi Miike",Tribecca Film
Harakiri,"Art House & International, Classics, Drama",Masaki Kobayashi,Criterion Collection
Harbinger Down,"Horror, Science Fiction & Fantasy",Alec Gillis,Vertical Entertainment
Hard Breakers,Comedy,Leah Sturgis,Freestyle Releasing
Hard Candy,"Drama, Horror, Mystery & Suspense",David Slade,Lions Gate Films
Hard Core Logo,"Comedy, Drama, Musical & Performing Arts",Bruce McDonald,Miramax Films
Hard Eight,Drama,Paul Thomas Anderson,MGM
Hard Rain,Action & Adventure,Michael Salomon,Paramount Home Video
Hard Sell,"Comedy, Drama",Sean Nalaboff,Yellow Cote Productions
Hard Target,Action & Adventure,John Woo,MCA Universal Home Video
Hard Ticket to Hawaii,"Action & Adventure, Comedy, Mystery & Suspense",Andy Sidaris,Malibu Bay Films
Hard to be a God,Science Fiction & Fantasy,Aleksei German,Kino Lorber
Hard to Kill,"Action & Adventure, Drama, Mystery & Suspense",Bruce Malmuth,Warner Home Video
The Hard Way,"Action & Adventure, Comedy",John Badham,MCA Universal Home Video
The Hard Word,"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Scott Roberts,Lions Gate Distribution
Hardball,"Comedy, Drama",Brian Robbins,Paramount Pictures
Hardcore Henry,"Action & Adventure, Science Fiction & Fantasy",Ilya Naishuller,Bazelevs Production
The Harder They Come,"Classics, Drama",Perry Henzell,Syndctd Entertainment
Hardware,"Action & Adventure, Horror, Science Fiction & Fantasy",Richard Stanley,Millimeter Films
Hardware Wars,Comedy,Ernie Fosselius,The Orchard
Hari Kondabolu: Warn Your Relatives,Comedy,Bobcat Goldthwait,Netflix
Harlem Aria,"Comedy, Drama",William Jennings,Magnolia Pictures
Harlem Nights,"Action & Adventure, Comedy",Eddie Murphy,Paramount Home Video
Harley Davidson and the Marlboro Man,Action & Adventure,Simon Wincer,MGM
Harmonium (Fuchi ni tatsu),"Art House & International, Drama",Koji Fukada,Nagoya Broadcasting Network
Harmontown,"Comedy, Documentary, Special Interest",Neil Berkeley,The Orchard
Harold & Kumar Escape from Guantanamo Bay,Comedy,"Hayden Schlossberg, Jon Hurwitz",Warner Bros. Pictures
Harold & Kumar Go to White Castle,"Action & Adventure, Comedy",Danny Leiner,New Line Cinema
Harold And Lillian: A Hollywood Love Story,Documentary,"Daniel Raim, Francis Ford Coppola, Mel Brooks, Danny DeVito",Adama Films
Harold and Maude,"Classics, Comedy, Romance",Hal Ashby,Paramount Pictures
Harold's Going Stiff,"Comedy, Horror",Keith Wright,Level 33 Entertainment
Harper (The Moving Target),"Drama, Mystery & Suspense",Jack Smight,Warner Bros.
Harpoon,"Art House & International, Comedy, Horror",Rob Grant,Epic Pictures
Harrison's Flowers,"Art House & International, Drama",Elie Chouraqui,Universal Focus
Harry and the Hendersons,"Comedy, Kids & Family",William Dear,Universal Pictures
Harry and Walter Go to New York,Comedy,Mark Rydell,Columbia Pictures
Harry Benson: Shoot First,Documentary,"Justin Bare, Matthew Miele",Quixotic Endeavors
Harry Brown,"Art House & International, Drama, Mystery & Suspense",Daniel Barber,Samuel Goldwyn Films
Harry Dean Stanton: Partly Fiction,"Documentary, Television",Sophie Huber,Adopt Films
Harry Potter and the Chamber of Secrets,"Kids & Family, Science Fiction & Fantasy",Chris Columbus,Warner Bros. Pictures
Harry Potter and the Deathly Hallows - Part 1,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",David Yates (II),Warner Bros. Pictures
Harry Potter and the Deathly Hallows - Part 2,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",David Yates (II),Warner Bros. Pictures
Harry Potter and the Goblet of Fire,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Mike Newell,Warner Bros. Pictures
Harry Potter and the Half-Blood Prince,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",David Yates (II),Warner Bros. Pictures
Harry Potter and the Order of the Phoenix,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",David Yates (II),Warner Bros. Pictures
Harry Potter and the Prisoner of Azkaban,"Kids & Family, Science Fiction & Fantasy",Alfonso Cuarón,Warner Bros. Pictures
Harry Potter and the Sorcerer's Stone,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Chris Columbus,Warner Bros. Pictures
Harsh Times,"Action & Adventure, Drama",David Ayer,MGM
Hart's War,Drama,Gregory Hoblit,MGM/UA
Harvard Beats Yale 29-29,"Documentary, Sports & Fitness",Kevin Rafferty,Emerging Pictures
Harvard Man,"Comedy, Drama",James Toback,Cowboy Pictures
Harvest,"Drama, Romance",Marc Meyers,Monterey Media
Harvey,"Classics, Comedy, Drama, Science Fiction & Fantasy",Henry Koster,MCA Universal Home Video
The Harvey Girls,"Classics, Comedy, Musical & Performing Arts, Western",George Sidney,MGM Home Entertainment
Hasan Minhaj: Homecoming King,Comedy,Christopher Storer,Netflix
Ha-Sodot (The Secrets),"Art House & International, Drama, Gay & Lesbian",Avi Nesher,Monterey Media
Hatari!,"Action & Adventure, Classics, Comedy, Drama",Howard Hawks,Howard Hawks
Hatchet,Horror,Adam Green,Anchor Bay Entertainment
Hatchet for the Honeymoon (Il rosso segno della follia),"Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Mario Bava,Charter Video
Hatchet II,"Action & Adventure, Comedy, Horror, Mystery & Suspense",Adam Green,Dark Sky Films
Hatchet III,Horror,B.J. McDonnell,MPI Media Group
Hate Crime,"Drama, Mystery & Suspense, Gay & Lesbian",Tommy Stovall,Image Entertainment
Hateship Loveship,"Comedy, Drama",Liza Johnson,IFC Films
Hating Breitbart,"Documentary, Special Interest",Andrew Marcus,Rocky Mountain Pictures
Haunt,Horror,Mac Carter,IFC Films
Haunt,"Horror, Mystery & Suspense","Scott Beck, Bryan Woods",Momentum Pictures
Dark House,"Drama, Horror, Mystery & Suspense",Victor Salva,Charles Agron Productions
The Haunted Mansion,"Comedy, Horror, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Rob Minkoff,Buena Vista Pictures
The Haunted Palace,Horror,Roger Corman,American International Pictures
The Haunted World of El Superbeasto,"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense","Rob Zombie, Mr. Lawrence",Anchor Bay Entertainment
Haunter,"Horror, Mystery & Suspense",Vincenzo Natali,IFC Midnight
Haunters: The Art of the Scare,"Documentary, Horror",Jon Schnitzer,The Brain Factory
The Haunting of Molly Hartley,"Drama, Mystery & Suspense",Mickey Liddell,Freestyle Releasing
House (Hausu),"Art House & International, Comedy, Horror, Science Fiction & Fantasy, Special Interest",Nobuhiko Ôbayashi,Toho International Company Inc
Hav Plenty,"Comedy, Romance",Christopher Scott Cherot,Miramax
Hava Nagila: The Movie,"Documentary, Drama, Special Interest",Roberta Grossman,International Film Circuit
Havana Motor Club,"Documentary, Drama, Sports & Fitness",Bent-Jorgen Perlmutt,Perlmutt Productions
Havoc,Drama,Barbara Kopple,New Line Cinema
Hawking,"Documentary, Special Interest",Stephen Finnigan,IFC Films
Häxan (Häxan: Witchcraft Through the Ages) (The Witches),Horror,Benjamin Christensen,International Telefilm Enterprises
Haywire,"Action & Adventure, Drama, Mystery & Suspense",Steven Soderbergh,Relativity Media
He Got Game,Drama,Spike Lee,Buena Vista
He Knows You're Alone,Horror,Armand Mastroianni,MGM Home Entertainment
"He Loves Me, He Loves Me Not","Art House & International, Comedy, Drama, Mystery & Suspense",Laetitia Colombani,Samuel Goldwyn Company
He Named Me Malala,Documentary,Davis Guggenheim,20th Century Fox
"He Said, She Said","Comedy, Drama, Romance","Ken Kwapis, Marisa Silver",Paramount Home Video
He Walked by Night,"Classics, Drama, Mystery & Suspense","Alfred L. Werker, Anthony Mann",Eagle-Lion
He Was a Quiet Man,"Art House & International, Comedy, Drama","Frank A. Cappello, Frank Cappello",Mitropoulos
Head Above Water,"Art House & International, Comedy, Drama, Mystery & Suspense",Jim Wilson,New Line Home Entertainment
Head Count,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Elle Callahan,Samuel Goldwyn Films
Head of State,Comedy,Chris Rock,DreamWorks SKG
Head On,"Art House & International, Drama",Ana Kokkinos,Strand Releasing
Headhunters,"Action & Adventure, Art House & International, Mystery & Suspense",Morten Tyldum,Magnolia Pictures
Headshot,"Art House & International, Mystery & Suspense, Special Interest",Pen-Ek Ratanaruang,Kino Lorber
Headshot,"Action & Adventure, Art House & International, Drama, Mystery & Suspense","Kimo Stamboel, Timo Tjahjanto",Vertical Entertainment
Headspace,"Documentary, Horror, Musical & Performing Arts",Andrew van den Houten,Freestyle Releasing
Heal the Living (Réparer les vivants),"Art House & International, Drama",Katell Quillévéré,Cohen Media Group
Hear My Song,"Comedy, Drama",Peter Chelsom,Miramax Films
Hear No Evil,Mystery & Suspense,Robert Greenwald,Twentieth Century Fox Home Entertainment
Hearing Is Believing,Documentary,Lorenzo DeStefano,
Heart of Glass (Herz aus Glas),"Art House & International, Drama, Special Interest",Werner Herzog,New Yorker Films
Heart Condition,"Comedy, Science Fiction & Fantasy",James D. Parriott,Sony Pictures Home Entertainment
The Heart Is a Lonely Hunter,"Classics, Drama",Robert Ellis Miller,Warner Home Video
Heart of a Dog,Documentary,Laurie Anderson,Canal Street Communications
Neil Young: Heart of Gold,"Documentary, Musical & Performing Arts",Jonathan Demme,Paramount Classics
"Question humaine, La, (Heartbeat Detector)","Art House & International, Drama, Mystery & Suspense",Nicolas Klotz,New Yorker
Heartbeeps,"Comedy, Science Fiction & Fantasy",Allan Arkush,Universal Studios
Heartbreak Ridge,"Action & Adventure, Drama",Clint Eastwood,Warner Home Video
Heartburn,"Comedy, Drama, Romance",Mike Nichols,Paramount Pictures
Heartless,"Drama, Horror, Science Fiction & Fantasy",Philip Ridley,Lionsgate
Heartlock,Drama,Jon Kauffman,Dark Star Pictures
Hearts and Minds,Documentary,Peter Davis,Warner Bros. Pictures
Hearts Beat Loud,"Comedy, Drama",Brett Haley,Gunpowder & Sky
Hearts in Atlantis,"Drama, Mystery & Suspense",Scott Hicks,Warner Bros.
Hearts of Darkness: A Filmmaker's Apocalypse,"Documentary, Special Interest, Television","Fax Bahr, George Hickenlooper, Eleanor Coppola, Francis Ford Coppola",Showtime Network
Hearts of Fire,"Drama, Musical & Performing Arts",Richard Marquand,Warner Bros. Pictures
Hearts Of The West (Hollywood Cowboy),"Comedy, Western",Howard Zieff,MGM
Heartstone (Hjartasteinn),Drama,Guðmundur Arnar Guðmundsson,SF Studios
Wild Card,"Action & Adventure, Drama, Mystery & Suspense",Simon West,The Film Arcade
Heat and Dust,"Drama, Romance",James Ivory,Cohen Media
Heathers,"Comedy, Cult Movies, Drama",Michael Lehmann,New World Video
Heatstroke,"Action & Adventure, Mystery & Suspense",Evelyn Purcell,Phase 4 Films
Heaven,"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Tom Tykwer,Miramax Films
Heaven Can Wait,"Classics, Comedy, Drama, Science Fiction & Fantasy, Romance",Ernst Lubitsch,20th Century Fox Film Corporation
Heaven Help Us,"Comedy, Drama",Michael Dinner,HBO Video
Heaven Is for Real,Drama,Randall Wallace,Sony Pictures
Heaven Knows Mr. Allison,"Action & Adventure, Classics, Comedy, Drama",John Huston,Fox
Heaven Knows What,Drama,"Benny Safdie, Josh Safdie",Radius
Heavenly Creatures,"Drama, Science Fiction & Fantasy, Romance",Peter Jackson,Miramax Films
Heaven's Gate,"Action & Adventure, Drama, Western",Michael Cimino,MGM/UA
Heaven's Prisoners,"Drama, Mystery & Suspense",Phil Joanou,New Line Home Entertainment
Heavy,Drama,James Mangold,Sony Pictures Home Entertainment
Heavy Metal 2000,"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy","Michel Lemire, Michael Coldewey, Michael Donovan",Sony Pictures Home Entertainment
Heavy Metal in Baghdad,"Documentary, Musical & Performing Arts, Special Interest","Eddy Moretti, Suroosh Alvi",Arts Alliance
Heavy Traffic,"Action & Adventure, Animation, Comedy, Drama",Ralph Bakshi,American International Pictures
Heavy Trip (Hevi reissu),"Action & Adventure, Art House & International, Comedy, Romance","Jukka Vidgren, Juuso Laatio",Music Box Films
Heavyweights,"Comedy, Kids & Family","Steven Brill, David Householter",Buena Vista
The Hebrew Hammer,"Action & Adventure, Comedy",Jonathan Kesselman,ContentFilm
Hector And The Search For Happiness,Drama,Peter Chelsom,Relativity Media
Hedwig and the Angry Inch,"Comedy, Drama, Musical & Performing Arts",John Cameron Mitchell,New Line Cinema
Heidi Fleiss: Hollywood Madam,"Documentary, Special Interest",Nick Broomfield,BMG
Heights,Drama,Chris Terrio,Sony Pictures Classics
Heima (Sigur Ros: Heima),"Documentary, Musical & Performing Arts",Dean DeBlois,EMI Records
Heist,Action & Adventure,Scott Mann,Emmett/Furla Films
Held Up,Comedy,Steve Rash,Trimark
Helena From The Wedding,Drama,Joseph Infantolino,Film Movement
Heleno,"Art House & International, Drama, Special Interest","José Henrique Fonseca, José Enrique Fonseca",Screen Media Ventures
Heli,Drama,Amat Escalante,Outsider Pictures
Helicopter Mom,Comedy,"Salomé Breziner, Salomé Breziner",Entertainment One
Hell & Back,"Animation, Comedy","Ross Shuman, Tom Gianas",Freestyle Releasing LLC.
Hell and Back Again,"Action & Adventure, Documentary, Special Interest",Danfung Dennis,Docurama Films
Hell Baby,"Comedy, Horror","Robert Ben Garant, Thomas Lennon",Millenium Entertainment
Hell Comes to Frogtown,"Action & Adventure, Comedy, Science Fiction & Fantasy","Donald G. Jackson, R.J. Kizer",New World Pictures
Hell Fest,Horror,Gregory Plotkin,Tucker Tooley Entertainment
Hell House,"Documentary, Special Interest, Faith & Spirituality",George Ratliff,Seventh Art Releasing
Hell Is for Heroes,"Action & Adventure, Classics, Drama",Don Siegel,Paramount Pictures
Hell Night,"Horror, Mystery & Suspense",Tom DeSimone,Anchor Bay Entertainment
Hell or High Water,"Drama, Mystery & Suspense",David Mackenzie,Film 44
Hell Up in Harlem,"Action & Adventure, Classics, Cult Movies","Larry Cohen, Janelle Cohen",MGM
Hellbenders,"Comedy, Horror, Mystery & Suspense",J.T. Petty,Bloody Disgusting
Hellbound?,"Documentary, Special Interest, Faith & Spirituality",Kevin Miller,Area23A
Hellbound: Hellraiser II,Horror,Tony Randel,New World Video
Hellboy,"Action & Adventure, Horror, Science Fiction & Fantasy",Guillermo del Toro,Sony Pictures
Hellboy,"Action & Adventure, Science Fiction & Fantasy",Neil Marshall,Summit Entertainment
Hellboy II: The Golden Army (Hellboy 2),"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Guillermo del Toro,Universal Pictures
Hellion,Drama,Kat Candler,IFC Films
Hellions,Horror,Bruce McDonald,IFC Films
Hello Again,"Comedy, Science Fiction & Fantasy",Frank Perry,Touchstone Pictures
"Hello, Dolly!","Classics, Comedy, Musical & Performing Arts",Gene Kelly,20th Century Fox
Hello Herman,Drama,Michelle Danner,Freestyle Releasing
Hello I Must Be Going,"Comedy, Drama",Todd Louiso,Oscilloscope Pictures
Hello Lonesome,"Comedy, Drama",Adam Reid,Bodega Studios
Hello Mary Lou: Prom Night II,Horror,Bruce Pittman,Norstar Releasing
"Hello, My Name is Doris",Drama,Michael Showalter,Red Crown Productions
Hellraiser,Horror,Clive Barker,New World Video
Hellraiser - Bloodline,"Horror, Science Fiction & Fantasy","Alan Smithee, Kevin Yagher",Miramax Films
Hellraiser: Deader,Horror,Rick Bota,Miramax
Hellraiser: Hellseeker,Horror,Rick Bota,Miramax
Hellraiser: Hellworld,Horror,Rick Bota,Miramax
Hellraiser III: Hell on Earth,Horror,Anthony Hickox,Paramount Home Video
Hellraiser: Judgment,Horror,Gary J. Tunnicliffe,Dimension Films
Helter Skelter,"Drama, Television",Tom Gries,Lorimar Productions
Helvetica,"Documentary, Musical & Performing Arts, Special Interest",Gary Hustwit,
Hemingway & Gellhorn,"Drama, Romance",Philip Kaufman,HBO Films
Henri Langlois: The Phantom of the Cinematheque,"Art House & International, Documentary, Special Interest, Television",Jacques Richard,Les Films Elemementaires
Henry: Portrait of a Serial Killer,"Drama, Horror, Mystery & Suspense",John McNaughton,GreyCat Films
Henry Fool,"Art House & International, Comedy",Hal Hartley,Sony Pictures Classics
